,train_r2_score,test_r2_score,full_r2_score,train_mean_squared_error,test_mean_squared_error,full_mean_squared_error
FNN,0.5460042073972015,-3.7187603168217978,0.3049931111200988,0.0175489459732275,0.0796383165657939,0.0299042615319498
CNN,0.7259102330289233,-0.7713576797230253,0.664505810075863,0.0105947821340234,0.0298951279949826,0.014435405113912
RNN,0.7318758198144792,0.0034389371771992,0.7292734586532456,0.0103641858115374,0.0168189185441993,0.0116486288490193
LSTMAutoencoder,0.7317826498120811,-0.0038299365624192,0.7286390597149076,0.0103677872443371,0.0169415950162144,0.0116759253148115
GAN,-1.2863775682145753,-15.156506443921264,-1.9063354924356708,0.0883786085086058,0.2726726700212866,0.1250517340992904
Transformer,0.6232614185122984,-0.1356191631391206,0.6402605794534599,0.01456261295871159,0.019165796171051994,0.015478611633207542
