STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
34,NJ,8226,33.12,18.34,13.15,9.58,17.53,8.28,6160
34,NJ,8230,30.36,17.82,14.85,10.89,21.12,4.95,3030
34,NJ,8232,54.11,32.14,8.44,3.14,2.16,0,9240
34,NJ,8234,36.01,23.25,14.24,9.73,13.79,2.97,22190
34,NJ,8240,33.33,23.33,13.33,13.33,16.67,0,300
34,NJ,8241,29.51,18.03,18.03,9.84,21.31,3.28,610
34,NJ,8242,42.64,26.9,13.2,8.63,8.63,0,1970
34,NJ,8243,27.43,17.7,15.93,9.73,20.35,8.85,1130
34,NJ,8244,38.81,25.45,14.62,8.84,10.47,1.81,5540
34,NJ,8246,30.77,23.08,30.77,0,15.38,0,130
34,NJ,8247,28,16,10,10,24,12,500
34,NJ,8251,43.04,27.44,15.38,7.28,6.24,0.62,4810
34,NJ,8260,49.15,22.65,11.11,6.27,8.26,2.56,7020
34,NJ,8270,35.73,23.34,14.41,9.8,14.12,2.59,3470
34,NJ,8302,41.71,28.95,12.65,6.91,8.54,1.24,17790
34,NJ,8310,38.27,25.93,16.05,7.41,9.88,2.47,810
34,NJ,8311,38.3,24.47,15.96,10.64,10.64,0,940
34,NJ,8312,33.07,23.36,17.32,11.55,13.39,1.31,3810
34,NJ,8314,30.77,23.08,23.08,23.08,0,0,130
34,NJ,8316,36,20,16,12,16,0,250
34,NJ,8317,32.2,20.34,18.64,13.56,15.25,0,590
34,NJ,8318,32.05,21.64,14.77,10.91,16.78,3.86,5960
34,NJ,8319,26.98,20.63,17.46,12.7,22.22,0,630
34,NJ,8320,40,30,30,0,0,0,100
34,NJ,8322,31.3,19.92,14.23,11.79,19.51,3.25,4920
34,NJ,8323,30.56,19.44,13.89,13.89,22.22,0,360
34,NJ,8324,35,25,20,20,0,0,200
34,NJ,8326,35,32.5,15,10,7.5,0,800
34,NJ,8327,32.35,26.47,20.59,11.76,8.82,0,340
